Case #1: Impossible
Case #2: 352
27 9 5685
30 2 6364
18 36 7004
24 3 12247
15 4 18013
28 22 19266
8 15 19830
27 4 25122
8 27 26939
8 42 27893
40 20 31286
15 12 34127
7 15 37755
4 8 37843
27 39 41454
4 29 41605
48 42 43535
2 9 43816
2 15 45240
17 9 45566
9 39 47139
4 45 49111
28 9 49922
27 6 51777
12 4 52140
39 4 52358
22 15 56394
41 22 56886
14 33 57254
8 7 57585
12 29 57719
15 6 58886
29 28 60720
24 33 62033
29 22 63331
18 10 63531
8 2 65070
42 4 65736
45 15 67124
15 32 68533
32 41 69025
22 9 69188
4 30 69617
30 12 71513
33 3 74280
7 28 74883
29 30 75196
24 8 75609
32 27 75642
41 28 76152
4 17 76373
46 14 76711
2 10 76724
6 28 80413
24 46 81490
2 7 82995
26 30 84387
42 7 85478
27 1 86398
37 29 87357
16 45 89017
6 10 90115
25 9 90663
39 22 90739
1 29 91770
21 6 92194
30 22 92397
15 1 93507
15 24 95439
3 9 95986
6 7 96641
30 5 97428
34 36 100659
39 45 101469
46 44 102437
39 32 102878
22 42 104117
32 30 104536
16 43 105083
15 19 105793
21 2 105840
8 5 106140
7 32 106288
17 46 108147
9 24 108233
19 45 108349
15 40 110608
37 15 110949
13 46 111450
32 6 111818
48 29 111830
24 48 112169
2 45 112364
32 11 112365
13 6 112544
22 17 114754
2 20 115583
6 41 118687
24 29 119031
37 45 119077
14 24 119287
8 38 119516
5 39 120655
35 8 121379
31 15 122054
40 9 123402
19 48 125341
28 48 125366
19 8 125623
26 40 126001
45 6 126010
2 34 126095
32 17 126893
41 13 127452
3 2 128432
31 27 129163
19 29 129385
8 40 130438
28 1 130635
8 37 130779
1 30 130893
3 14 131534
17 48 132234
10 35 133033
41 8 133110
2 48 133478
40 33 133886
25 22 134263
43 37 135143
32 45 135657
17 25 136229
25 6 136755
7 38 137441
8 33 137642
34 3 138787
30 36 139615
2 24 140679
38 33 140902
19 7 143548
26 16 144001
48 22 144632
2 38 144926
39 37 145294
29 10 145556
17 35 145691
32 25 146402
18 30 146619
6 36 146642
30 24 147043
14 6 147283
41 12 147407
28 37 148077
40 7 148363
20 5 148959
33 35 149427
14 22 149599
45 48 149654
42 46 150124
3 45 150316
34 24 151034
38 30 151290
22 24 151833
19 42 153516
4 26 154004
24 13 154026
24 6 154325
35 22 155070
12 31 156181
37 2 156189
10 39 156309
15 11 156620
48 32 156771
20 11 157291
26 28 157518
38 17 158046
31 28 159182
26 29 159583
13 27 159610
10 7 159719
31 7 159809
4 20 159907
43 26 161018
32 14 161738
11 6 162027
21 35 162149
21 40 162845
31 19 163279
11 29 163557
27 33 164581
43 13 164745
20 33 165172
26 10 167220
28 14 168865
40 41 169345
11 9 169414
5 3 169502
9 34 169911
10 44 171245
15 34 171335
48 33 174202
5 48 174548
31 36 174817
15 44 175009
40 5 175361
2 11 175673
12 20 176021
20 39 176239
29 47 176261
38 25 177555
27 18 178386
22 31 178448
20 28 179022
21 39 179403
13 42 180444
5 10 180516
13 23 180595
1 35 180838
31 32 181422
26 5 181815
31 18 181821
21 10 182309
9 18 184071
3 35 184741
12 44 185949
39 13 186846
48 38 187924
42 16 188732
13 7 190256
21 31 190423
11 12 190747
39 11 190965
34 8 191165
37 18 191338
34 28 192862
